level,question,answer
easy,Було 𓎆𓏺 блоків піраміди. Додали 𓎆𓏺𓏺. Скільки стало?,𓎆𓎆𓏺𓏺𓏺
easy,Було 𓎆𓏺𓏺 блоків піраміди. Додали 𓎆𓏺𓏺𓏺. Скільки стало?,𓎆𓎆𓏺𓏺𓏺𓏺𓏺
easy,Було 𓎆𓏺𓏺𓏺 блоків піраміди. Додали 𓎆𓏺𓏺𓏺𓏺. Скільки стало?,𓎆𓎆𓏺𓏺𓏺𓏺𓏺𓏺𓏺
easy,Було 𓎆𓏺𓏺𓏺𓏺 блоків піраміди. Додали 𓎆𓏺𓏺𓏺𓏺𓏺. Скільки стало?,𓎆𓎆𓏺𓏺𓏺𓏺𓏺𓏺𓏺𓏺𓏺
easy,Було 𓎆𓏺𓏺𓏺𓏺𓏺 блоків піраміди. Додали 𓎆𓏺𓏺𓏺𓏺𓏺𓏺. Скільки стало?,𓎆𓎆𓎆𓏺
easy,Було 𓎆𓏺𓏺𓏺𓏺𓏺𓏺 блоків піраміди. Додали 𓎆𓏺𓏺𓏺𓏺𓏺𓏺𓏺. Скільки стало?,𓎆𓎆𓎆𓏺𓏺𓏺
easy,Було 𓎆𓏺𓏺𓏺𓏺𓏺𓏺𓏺 блоків піраміди. Додали 𓎆𓏺𓏺𓏺𓏺𓏺𓏺𓏺𓏺. Скільки стало?,𓎆𓎆𓎆𓏺𓏺𓏺𓏺𓏺
easy,Було 𓎆𓏺𓏺𓏺𓏺𓏺𓏺𓏺𓏺 блоків піраміди. Додали 𓎆𓏺𓏺𓏺𓏺𓏺𓏺𓏺𓏺𓏺. Скільки стало?,𓎆𓎆𓎆𓏺𓏺𓏺𓏺𓏺𓏺𓏺
easy,Було 𓎆𓏺𓏺𓏺𓏺𓏺𓏺𓏺𓏺𓏺 блоків піраміди. Додали 𓎆𓎆. Скільки стало?,𓎆𓎆𓎆𓏺𓏺𓏺𓏺𓏺𓏺𓏺𓏺𓏺
easy,Було 𓎆𓎆 блоків піраміди. Додали 𓎆𓎆𓏺. Скільки стало?,𓎆𓎆𓎆𓎆𓏺
easy,Було 𓎆𓎆𓏺 блоків піраміди. Додали 𓎆𓎆𓏺𓏺. Скільки стало?,𓎆𓎆𓎆𓎆𓏺𓏺𓏺
easy,Було 𓎆𓎆𓏺𓏺 блоків піраміди. Додали 𓎆𓎆𓏺𓏺𓏺. Скільки стало?,𓎆𓎆𓎆𓎆𓏺𓏺𓏺𓏺𓏺
