level,question,answer
easy,У легіоні було XI воїнів. Додали XII. Скільки стало?,XXIII
easy,У легіоні було XII воїнів. Додали XIII. Скільки стало?,XXV
easy,У легіоні було XIII воїнів. Додали XIV. Скільки стало?,XXVII
easy,У легіоні було XIV воїнів. Додали XV. Скільки стало?,XXIX
easy,У легіоні було XV воїнів. Додали XVI. Скільки стало?,XXXI
easy,У легіоні було XVI воїнів. Додали XVII. Скільки стало?,XXXIII
easy,У легіоні було XVII воїнів. Додали XVIII. Скільки стало?,XXXV
easy,У легіоні було XVIII воїнів. Додали XIX. Скільки стало?,XXXVII
easy,У легіоні було XIX воїнів. Додали XX. Скільки стало?,XXXIX
easy,У легіоні було XX воїнів. Додали XXI. Скільки стало?,XLI
easy,У легіоні було XXI воїнів. Додали XXII. Скільки стало?,XLIII
easy,У легіоні було XXII воїнів. Додали XXIII. Скільки стало?,XLV
easy,У легіоні було XXIII воїнів. Додали XXIV. Скільки стало?,XLVII
easy,У легіоні було XXIV воїнів. Додали XXV. Скільки стало?,XLIX
easy,У легіоні було XXV воїнів. Додали XI. Скільки стало?,XXXVI
easy,У легіоні було XXVI воїнів. Додали XII. Скільки стало?,XXXVIII
easy,У легіоні було XXVII воїнів. Додали XIII. Скільки стало?,XL
easy,У легіоні було XXVIII воїнів. Додали XIV. Скільки стало?,XLII
easy,У легіоні було XXIX воїнів. Додали XV. Скільки стало?,XLIV
easy,У легіоні було XXX воїнів. Додали XVI. Скільки стало?,XLVI
easy,У легіоні було XXXI воїнів. Додали XVII. Скільки стало?,XLVIII
easy,У легіоні було XXXII воїнів. Додали XVIII. Скільки стало?,L
easy,У легіоні було XXXIII воїнів. Додали XIX. Скільки стало?,LII
easy,У легіоні було XXXIV воїнів. Додали XX. Скільки стало?,LIV
easy,У легіоні було XXXV воїнів. Додали XXI. Скільки стало?,LVI
easy,У легіоні було XXXVI воїнів. Додали XXII. Скільки стало?,LVIII
easy,У легіоні було XXXVII воїнів. Додали XXIII. Скільки стало?,LX
easy,У легіоні було XXXVIII воїнів. Додали XXIV. Скільки стало?,LXII
easy,У легіоні було XXXIX воїнів. Додали XXV. Скільки стало?,LXIV
easy,У легіоні було XL воїнів. Додали XI. Скільки стало?,LI
easy,У легіоні було XLI воїнів. Додали XII. Скільки стало?,LIII
easy,У легіоні було XLII воїнів. Додали XIII. Скільки стало?,LV
easy,У легіоні було XLIII воїнів. Додали XIV. Скільки стало?,LVII
easy,У легіоні було XLIV воїнів. Додали XV. Скільки стало?,LIX
easy,У легіоні було XLV воїнів. Додали XVI. Скільки стало?,LXI
easy,У легіоні було XLVI воїнів. Додали XVII. Скільки стало?,LXIII
easy,У легіоні було XLVII воїнів. Додали XVIII. Скільки стало?,LXV
easy,У легіоні було XLVIII воїнів. Додали XIX. Скільки стало?,LXVII
easy,У легіоні було XLIX воїнів. Додали XX. Скільки стало?,LXIX
easy,У легіоні було L воїнів. Додали XXI. Скільки стало?,LXXI
easy,У легіоні було LI воїнів. Додали XXII. Скільки стало?,LXXIII
easy,У легіоні було LII воїнів. Додали XXIII. Скільки стало?,LXXV
easy,У легіоні було LIII воїнів. Додали XXIV. Скільки стало?,LXXVII
easy,У легіоні було LIV воїнів. Додали XXV. Скільки стало?,LXXIX
easy,У легіоні було LV воїнів. Додали XI. Скільки стало?,LXVI
easy,У легіоні було LVI воїнів. Додали XII. Скільки стало?,LXVIII
easy,У легіоні було LVII воїнів. Додали XIII. Скільки стало?,LXX
easy,У легіоні було LVIII воїнів. Додали XIV. Скільки стало?,LXXII
easy,У легіоні було LIX воїнів. Додали XV. Скільки стало?,LXXIV
easy,У легіоні було LX воїнів. Додали XVI. Скільки стало?,LXXVI
easy,У легіоні було LXI воїнів. Додали XVII. Скільки стало?,LXXVIII
easy,У легіоні було LXII воїнів. Додали XVIII. Скільки стало?,LXXX
easy,У легіоні було LXIII воїнів. Додали XIX. Скільки стало?,LXXXII
easy,У легіоні було LXIV воїнів. Додали XX. Скільки стало?,LXXXIV
easy,У легіоні було LXV воїнів. Додали XXI. Скільки стало?,LXXXVI
easy,У легіоні було LXVI воїнів. Додали XXII. Скільки стало?,LXXXVIII
easy,У легіоні було LXVII воїнів. Додали XXIII. Скільки стало?,XC
easy,У легіоні було LXVIII воїнів. Додали XXIV. Скільки стало?,XCII
easy,У легіоні було LXIX воїнів. Додали XXV. Скільки стало?,XCIV
easy,У легіоні було LXX воїнів. Додали XI. Скільки стало?,LXXXI
easy,У легіоні було LXXI воїнів. Додали XII. Скільки стало?,LXXXIII
easy,У легіоні було LXXII воїнів. Додали XIII. Скільки стало?,LXXXV
easy,У легіоні було LXXIII воїнів. Додали XIV. Скільки стало?,LXXXVII
easy,У легіоні було LXXIV воїнів. Додали XV. Скільки стало?,LXXXIX
easy,У легіоні було LXXV воїнів. Додали XVI. Скільки стало?,XCI
