level,question,answer
easy,У храмі було ๑๑ ліхтарів. Додали ๑๒. Скільки стало?,๒๓
easy,У храмі було ๑๒ ліхтарів. Додали ๑๓. Скільки стало?,๒๕
easy,У храмі було ๑๓ ліхтарів. Додали ๑๔. Скільки стало?,๒๗
easy,У храмі було ๑๔ ліхтарів. Додали ๑๕. Скільки стало?,๒๙
easy,У храмі було ๑๕ ліхтарів. Додали ๑๖. Скільки стало?,๓๑
easy,У храмі було ๑๖ ліхтарів. Додали ๑๗. Скільки стало?,๓๓
easy,У храмі було ๑๗ ліхтарів. Додали ๑๘. Скільки стало?,๓๕
easy,У храмі було ๑๘ ліхтарів. Додали ๑๙. Скільки стало?,๓๗
easy,У храмі було ๑๙ ліхтарів. Додали ๒๐. Скільки стало?,๓๙
easy,У храмі було ๒๐ ліхтарів. Додали ๒๑. Скільки стало?,๔๑
easy,У храмі було ๒๑ ліхтарів. Додали ๒๒. Скільки стало?,๔๓
easy,У храмі було ๒๒ ліхтарів. Додали ๒๓. Скільки стало?,๔๕
easy,У храмі було ๒๓ ліхтарів. Додали ๒๔. Скільки стало?,๔๗
easy,У храмі було ๒๔ ліхтарів. Додали ๒๕. Скільки стало?,๔๙
easy,У храмі було ๒๕ ліхтарів. Додали ๑๑. Скільки стало?,๓๖
easy,У храмі було ๒๖ ліхтарів. Додали ๑๒. Скільки стало?,๓๘
easy,У храмі було ๒๗ ліхтарів. Додали ๑๓. Скільки стало?,๔๐
easy,У храмі було ๒๘ ліхтарів. Додали ๑๔. Скільки стало?,๔๒
easy,У храмі було ๒๙ ліхтарів. Додали ๑๕. Скільки стало?,๔๔
easy,У храмі було ๓๐ ліхтарів. Додали ๑๖. Скільки стало?,๔๖
easy,У храмі було ๓๑ ліхтарів. Додали ๑๗. Скільки стало?,๔๘
easy,У храмі було ๓๒ ліхтарів. Додали ๑๘. Скільки стало?,๕๐
easy,У храмі було ๓๓ ліхтарів. Додали ๑๙. Скільки стало?,๕๒
easy,У храмі було ๓๔ ліхтарів. Додали ๒๐. Скільки стало?,๕๔
easy,У храмі було ๓๕ ліхтарів. Додали ๒๑. Скільки стало?,๕๖
easy,У храмі було ๓๖ ліхтарів. Додали ๒๒. Скільки стало?,๕๘
easy,У храмі було ๓๗ ліхтарів. Додали ๒๓. Скільки стало?,๖๐
easy,У храмі було ๓๘ ліхтарів. Додали ๒๔. Скільки стало?,๖๒
easy,У храмі було ๓๙ ліхтарів. Додали ๒๕. Скільки стало?,๖๔
easy,У храмі було ๔๐ ліхтарів. Додали ๑๑. Скільки стало?,๕๑
easy,У храмі було ๔๑ ліхтарів. Додали ๑๒. Скільки стало?,๕๓
easy,У храмі було ๔๒ ліхтарів. Додали ๑๓. Скільки стало?,๕๕
easy,У храмі було ๔๓ ліхтарів. Додали ๑๔. Скільки стало?,๕๗
easy,У храмі було ๔๔ ліхтарів. Додали ๑๕. Скільки стало?,๕๙
easy,У храмі було ๔๕ ліхтарів. Додали ๑๖. Скільки стало?,๖๑
easy,У храмі було ๔๖ ліхтарів. Додали ๑๗. Скільки стало?,๖๓
easy,У храмі було ๔๗ ліхтарів. Додали ๑๘. Скільки стало?,๖๕
easy,У храмі було ๔๘ ліхтарів. Додали ๑๙. Скільки стало?,๖๗
easy,У храмі було ๔๙ ліхтарів. Додали ๒๐. Скільки стало?,๖๙
easy,У храмі було ๕๐ ліхтарів. Додали ๒๑. Скільки стало?,๗๑
easy,У храмі було ๕๑ ліхтарів. Додали ๒๒. Скільки стало?,๗๓
easy,У храмі було ๕๒ ліхтарів. Додали ๒๓. Скільки стало?,๗๕
easy,У храмі було ๕๓ ліхтарів. Додали ๒๔. Скільки стало?,๗๗
easy,У храмі було ๕๔ ліхтарів. Додали ๒๕. Скільки стало?,๗๙
easy,У храмі було ๕๕ ліхтарів. Додали ๑๑. Скільки стало?,๖๖
easy,У храмі було ๕๖ ліхтарів. Додали ๑๒. Скільки стало?,๖๘
easy,У храмі було ๕๗ ліхтарів. Додали ๑๓. Скільки стало?,๗๐
easy,У храмі було ๕๘ ліхтарів. Додали ๑๔. Скільки стало?,๗๒
easy,У храмі було ๕๙ ліхтарів. Додали ๑๕. Скільки стало?,๗๔
easy,У храмі було ๖๐ ліхтарів. Додали ๑๖. Скільки стало?,๗๖
easy,У храмі було ๖๑ ліхтарів. Додали ๑๗. Скільки стало?,๗๘
easy,У храмі було ๖๒ ліхтарів. Додали ๑๘. Скільки стало?,๘๐
easy,У храмі було ๖๓ ліхтарів. Додали ๑๙. Скільки стало?,๘๒
easy,У храмі було ๖๔ ліхтарів. Додали ๒๐. Скільки стало?,๘๔
easy,У храмі було ๖๕ ліхтарів. Додали ๒๑. Скільки стало?,๘๖
easy,У храмі було ๖๖ ліхтарів. Додали ๒๒. Скільки стало?,๘๘
easy,У храмі було ๖๗ ліхтарів. Додали ๒๓. Скільки стало?,๙๐
easy,У храмі було ๖๘ ліхтарів. Додали ๒๔. Скільки стало?,๙๒
easy,У храмі було ๖๙ ліхтарів. Додали ๒๕. Скільки стало?,๙๔
easy,У храмі було ๗๐ ліхтарів. Додали ๑๑. Скільки стало?,๘๑
easy,У храмі було ๗๑ ліхтарів. Додали ๑๒. Скільки стало?,๘๓
easy,У храмі було ๗๒ ліхтарів. Додали ๑๓. Скільки стало?,๘๕
easy,У храмі було ๗๓ ліхтарів. Додали ๑๔. Скільки стало?,๘๗
easy,У храмі було ๗๔ ліхтарів. Додали ๑๕. Скільки стало?,๘๙
easy,У храмі було ๗๕ ліхтарів. Додали ๑๖. Скільки стало?,๙๑
easy,У храмі було ๗๖ ліхтарів. Додали ๑๗. Скільки стало?,๙๓
easy,У храмі було ๗๗ ліхтарів. Додали ๑๘. Скільки стало?,๙๕
easy,У храмі було ๗๘ ліхтарів. Додали ๑๙. Скільки стало?,๙๗
easy,У храмі було ๗๙ ліхтарів. Додали ๒๐. Скільки стало?,๙๙
easy,У храмі було ๘๐ ліхтарів. Додали ๒๑. Скільки стало?,๑๐๑
easy,У храмі було ๘๑ ліхтарів. Додали ๒๒. Скільки стало?,๑๐๓
easy,У храмі було ๘๒ ліхтарів. Додали ๒๓. Скільки стало?,๑๐๕
easy,У храмі було ๘๓ ліхтарів. Додали ๒๔. Скільки стало?,๑๐๗
easy,У храмі було ๘๔ ліхтарів. Додали ๒๕. Скільки стало?,๑๐๙
easy,У храмі було ๘๕ ліхтарів. Додали ๑๑. Скільки стало?,๙๖
easy,У храмі було ๘๖ ліхтарів. Додали ๑๒. Скільки стало?,๙๘
easy,У храмі було ๘๗ ліхтарів. Додали ๑๓. Скільки стало?,๑๐๐
easy,У храмі було ๘๘ ліхтарів. Додали ๑๔. Скільки стало?,๑๐๒
easy,У храмі було ๘๙ ліхтарів. Додали ๑๕. Скільки стало?,๑๐๔
easy,У храмі було ๙๐ ліхтарів. Додали ๑๖. Скільки стало?,๑๐๖
easy,У храмі було ๙๑ ліхтарів. Додали ๑๗. Скільки стало?,๑๐๘
